"time","speaker","text","notes"
"3.27","A","And so from then on you helped look after your brothers? ",""
"","B","Yes. ",""
"","A","So it must have been quite a hard life for you? ",""
"","B","Oh, it was. ",""
"","A","And did you have to help cooking and doing housework? ",""
"","B","I did all the cooking and the housework. ",""
"","A","What from 10 years of age on?  Goodness!  Then you went to school as well? ",""
"","B","Yes. ",""
"","A","And what age did you leave school? ",""
"","B","Fourteen and a half. ",""
"3.50","A","And what did you do then?   ",""
"","B","I looked after the house until the boys were old enough to more or less fend for themselves, and then I went and lived with an Aunty and Uncle at Pendle Hill and got a job at Bonds. ",""
"","A","And how old you were you then? ",""
"","B","Oh, about 16. ",""
"4.05","A","So you didn't have a very leisurely childhood? ",""
"","B","No.  We used to boil the old kerosene tin outside and do the washing of a weekend, and on the ... like an open fire. ",""
"","A","And did your brothers help at all and your father? ",""
"","B","Well dad had a market garden out there at the time.  Yes.  Like he had always had a garden with five acres, and he was busy.  We only had tank water.  We had no electricity up there then. ",""
"4.37","A","What did you do for lights? ",""
"","B","We had kerosene lights?  ",""
"4.40","A","And what about ... did you have an ice box? ",""
"","B","3 Yes.  An ice-chest.  But the ice-man never came there as often as he did after we moved here.  Even after I got married the ice-man used to call here - we never had a fridge. ",""
"","A","Didn't you? ",""
"","B","No. ",""
"5.00","A","So what your daily routine have been as a child then?  You know as a young teenager? ",""
"","B","As a teenager ... we used to ride a bike or ... we didn't do a great lot.  When I got older I used to go to the dances and I used to dance a lot. ",""
"","A","That was your main entertainment? ",""
"","B","My main entertainment was dancing - or go to the pictures in Blacktown. ",""
"5.30","A","When you were looking after the family, how did you fit in the housework? ",""
"","B","I used to do it when I came home.   ",""
"","A","Did you feel hardly done by? ",""
"","B","Not really.   ",""
"","A","You just accepted it? ",""
"","B","I just accepted it.  Yes.  And if the clothes didn't get dry at the weekend I used to try and dry them by the stove.  We had an open fire - open fuel stove - and I suppose the boys used to get wood.  We'd never go down into the bush without bringing an armful of sticks back for the fire.  You'd always do that. ",""
"6.00","A","And what about shopping? ",""
"","B","Well I think Dad did most of the shopping.  ",""
"","A","Did he.  He had a car I suppose. ",""
"","B","A motor-bike and sidecar. ",""
"","A","Oh, and so he did the shopping and brought it home himself? ",""
"","B","Yes. ",""
"","A","And you didn't get deliveries? ",""
"","B","No.  Not out ... oh the butcher used to come out there.  And Dad would order the meat from Quakers Hill as it was, and the butcher would bring the meat up a couple of days a week.  And the bread was delivered. ",""
"","A","And I suppose he supplied his own vegetables from the market garden? ",""
"","B","Yes.  ",""
"","A","Is your father Australian born?  Because a lot of market gardeners were from Europe. ",""
"","B","No.  He was an Australian born. ",""
"6.49","A","So after you left home and got married ... oh what was the area like at Parklea? ",""
"","B","4 At Parklea?  Oh very, very quiet and rural with quite a few poultry farms around.  Dairy farms.  Other than that it was very quiet. ",""
"","A","Did you know your neighbours? ",""
"","B","Oh, yes.  Everybody knew one another. ",""
"","A","Were they close neighbours - close physically? ",""
"","B","Five acres blocks really - not a great lot, we didn't know them a great lot, you know.  They were there - you'd say hello to them. ",""
"7.29","A","And did you play with other children in the area? ",""
"","B","No, no.  Going home from school we used to go home with a crowd that used to live further over.  They'd call into our place and we'd get into the bread and butter and jam!  And we&apos;d have a feast!  Of course all the children would be hungry.  Dad would come home and we'd have no bread!  (Laughs) ",""
"","A","Well it was a long walk wasn't it? ",""
"","B","Well, yes! ",""
"7.55","A","And how did you get around?  Did you have a bike yourself? ",""
"","B","Yes.   ",""
"","A","And did you ride to school sometimes? ",""
"","B","Yes.  In the later years we did. ",""
"","A","And your father never had a car? ",""
"","B","No.  He got a car later when he retired? ",""
"8.10","A","And what about public transport? ",""
"","B","Only buses. ",""
"","A","There were buses.  And was it a good service? ",""
"","B","No. It was only about a couple of times a day. ",""
"","A","Really.  So mostly you'd have to walk or ride a bike? ",""
"","B","Yes. ",""
"8.27","A","And the roads weren't very good I suppose? ",""
"","B","No.  No I can remember when they were only dirt roads from here to Blacktown - or from Parklea to Blacktown - they were only dirt roads. ",""
"8.378","A","So when you got married, what year was that? ",""
"","B","1947. ",""
"","A","And you moved here to Quakers Hill? ",""
"","B","Yes.  Well, Lloyd's mother and father owned this house and we ... I had my appendix out and I couldn't ride my bike from Parklea to work.  I used to ride from Parklea to Pendle Hill. 5 ",""
"","A","Did you? ",""
"","B","Yes.  There and back each day.  And the doctor said I wasn't to ride the bike for a few weeks, so I came down here and I used to go by train to Pendle Hill, and then from there I stayed here until I got married. ",""
"8.17","A","Right.  And so when you were married did you move in with your husband's parents to start off with? ",""
"","B","Yes. ",""
"9.27","A","And what was this area like then? ",""
"","B","It was rural.  There was poultry farms.  If you sat outside you could hear the chooks cackling!  Quite a few dairy farms.  There was a picture show once a week in the local hall.  We used to have dances in the local hall. ",""
"9.50","A","Were there many shops? ",""
"","B","No.  There was one shop and a butcher's shop. ",""
"","A","Was it a mixed business? ",""
"","B","A mixed business shop, and the Post Office was at the rear end of it. ",""
"","A","Was it.  It was a tiny shopping centre! ",""
"","B","And that shop's still down here. ",""
"10.09","A","Is it?  And were the neighbour's houses close together?  Or were there gaps between? ",""
"","B","The house was next door here, but there was none ...  it was a tennis court.  Oh they built the tennis court after we got married, but that was a block of ground and they had fruit trees on it. ",""
"","A","Opposite? ",""
"","B","Yes.  There.  No they were pretty scarce and sparsely built. ",""
"10.42","A","So there was lots of space and air around!  ",""
"","B","Yes. ",""
"10.43","A","And what was the landscape like?  Was it lots of fruit trees and bush? ",""
"","B","Yes.  There was fruit trees and bush.  We used to take short cuts through to the next street. ",""
"","A","Through the bush? ",""
"","B","Yes. ",""
"10.56","A","What were the roads like?  Were they dirt roads then? ",""
"","B","No.  They were tarred. ",""
"","A","Were they? ",""
"","B","Yes. ",""
"11.02","A","And what did you do for shopping from here? ",""
"","B","6 Well, we would go to Parramatta once a week.  I'd take the baby in the stroller. ",""
"","A","On the train? ",""
"","B","Yes.  The train service wasn't as good as it is today.  But we used to go in the morning and come home in the afternoon, and we'd buy our meat. ",""
"","A","So it was an all-day sojourn? ",""
"","B","All day.  ",""
"","A","And so you didn't get anything delivered either? ",""
"","B","We used to get our groceries delivered.  There was a local shop.  We used to put an order in to the local shop and he would deliver your groceries.  And the fruit man would come once a week.  The milkman, earlier times, you'd get the milk in a billy-can. ",""
"","A","He'd come with his horse and cart? ",""
"","B","And you'd get the milk in the billy-can.   ",""
"","A","And bread was delivered? ",""
"","B","Bread was delivered. ",""
"12.09","A","And what sort of electric appliances did you have? ",""
"","B","A fuel copper! ",""
"","A","That wasn't an electric appliance was it?  (Laughs) No.  A jug, I think, and a vacuum cleaner. So you washed with a fuel copper? ",""
"","B","Yes.  Washed with a fuel copper.  We had a chip heater in the bathroom just for hot water, and boiled the jug for any other things for the hot water - never had a hot water service.  We had a tiny little portable stove, like a stovette, as they used to call them. ",""
"","A","Electric was it? ",""
"","B","Electric.  And we used to cook on that until we got the bigger stove. ",""
"12.54","A","How long was it before you got all the modern conveniences? ",""
"","B","Well we had a kerosene fridge before we got the other fridge, but we had a kerosene fridge up until 1954.  Till Margaret was born, I think.  And then we got the electric fridge. ",""
"","A","That would make a different wouldn't it, because it gets quite hot out here? ",""
"","B","Yes.  It made a big difference to things, especially your butter and cheese and that.  It kept a lot better in the fridge.  ",""
"13.29","A","And what were the health services like out here? ",""
"","B","Well we had no doctors.  We had to go to ... there was no doctors at all here.  We went to Riverstone to doctors. ",""
"","A","Did you?  How far was that? ",""
"","B","7 Riverstone is two stops in the station on the rail towards Richmond. ",""
"","A","So what would you do in an emergency? ",""
"","B","Well, put them in the car and take them to the doctors. ",""
"","A","You had a car when you were married? ",""
"","B","My husband had a car, but I never drove until about '58. ",""
"13.59","A","Were your children born in a local hospital? ",""
"","B","Yes.  Margaret was born in a private hospital - they were both born in a private hospital at Blacktown, and it cost me 20 pounds for her confinement in a private hospital.   ",""
"","A","Really! ",""
"","B","Yes.  I found the receipt yesterday! ",""
"","A","That's interesting.  And did you find the service good there? ",""
"","B","Oh, yes.  They kept us in bed for nine days with our feet off the ground.  Not like today when they're out ... have their baby today and go home tomorrow! ",""
"","A","That's right. ",""
"","B","We went to ... the doctor from Riverstone delivered the babies. ",""
"","A","He came to Blacktown? ",""
"","B","He came to Blacktown Hospital. ",""
"","A","And so how many doctors would be here now? ",""
"","B","Oh, about five now. ",""
"","A","And is there a local hospital now? ",""
"","B","No. Blacktown ... ",""
"","A","Blacktown is the closest one? ",""
"14.55","A","And what about dentists?  Did you have any? ",""
"","B","No.  I found a receipt yesterday in some things, and it was from a dentist to have a tooth extracted - it was one pound and ten shillings. ",""
"","A","When was that? ",""
"","B","I don't know when the date was.  Wait till I get it! ",""
"","A","All right. ",""
"","B","1955 - the 27th of the sixth.  And that was from Webb in Parramatta. ",""
"","A","One guinea, I suppose that is? ",""
"","B","Yes.  One guinea.  And that's Margaret's confinement!  (Laughs) 8 ",""
"","A","And that was 1954. ",""
"","B","Yes.  And look at the stamp duty! ",""
"15.43","A","How far apart were your two babies? ",""
"","B","About five years. ",""
"","A","Did you plan to have them nicely spaced out like that or was that just how it happened? ",""
"","B","Just how it happened? ",""
"","A","And did you plan to have to plan two children, or did you ... ? ",""
"","B","No, I only planned to have two. ",""
"","A","So that was it! ",""
"","B","Yes.  Well when I came, my mother-in-law had bad eyes and she was partly blind.  Then she had cataracts on her eyes and I more or less took over the household for her.  And then she died and then my husband's father was eighty-odd by the time he died, and I looked after him until then. ",""
"","A","So you all lived together for all of your married life?  Until they died. ",""
"","B","Yes.  And then we bought the place. ",""
"","A","And then you bought it. ",""
"","B","Yes. ",""
"16.34","A","So when actually was this built?  Did your in-laws build it? ",""
"","B","No.  It was an inter-colonial house and I don't know when it was built, but I'd say it would be nearly a hundred years old. ",""
"16.51","A","How big is this land? ",""
"","B","It's a quarter-acre. ",""
"","A","A quarter-acre block.  And you have a big garden? ",""
"","B","Yes.  I grow vegetables.  I've got some beans and tomatoes in at present, but I'm not picking them because we were away at Christmas time and they've just gone away. ",""
"","A","Oh, right.  And are you the gardener? ",""
"","B","Yes.   ",""
"","A","Your husband doesn't do any gardening? ",""
"","B","No.  He digs the ground for me. ",""
"","A","He does the hard work? ",""
"","B","Yes.  And I do the gardening. ",""
"17.18","A","What about family finances.  First of all how did your father manage finances? ",""
"","B","Yes.  He managed all that. 9 ",""
"","A","And then when you were married who looked after the household money? ",""
"","B","I did! ",""
"","A","And so did your husband give you ...? ",""
"","B","All his pay packets. ",""
"","A","Did he? ",""
"","B","Yes.  Give me all the pay packets. ",""
"","A","And you managed all the accounts? ",""
"","B","I managed it all.  And I used to get a five pound cash order once every five months and that would clothe us all. ",""
"","A","Really!  For five pounds! ",""
"","B","Five pounds.  Then gradually as it went up we got a ten pound cash order and you'd pay it off because when we were first married my husband's wage was only about eight pound a week. ",""
"","A","You couldn’t buy much with that? ",""
"","B","No.  But things were cheaper those days.  Like we could buy a block of land for 150 pounds. ",""
"18.20","A","And is the cash order like a credit? ",""
"","B","Yes.  Well it was like a piece of paper and it had coupons on,  and you take it to the shop and if you bought something for two pounds, they would tear off a coupon and just write two pound off it until your five pound was gone. ",""
"18.42","A","And did you make any clothes as well - did you sew? ",""
"","B","Yes.  I used to make most of the children's clothes. ",""
"","A","That would have helped.  And did you make jams and preserves and things like that? ",""
"","B","Yes. ",""
"18.57","A","And what about recreation - what did you do? ",""
"","B","Mostly dances.  Yes.  I met my husband at a ball. ",""
"","A","Oh, did you?  Which one? ",""
"","B","Quakers Hill, the Country Women's Ball. ",""
"19.13","A","And you were a member of the Country Women's Association were you? ",""
"","B","Oh, after I got married.  And then I dropped out after I had the children and then went back to it. ",""
"","A","And so after you were married, what did you do for entertainment then? ",""
"","B","Well we used to go to the local picture show on a Saturday night, or we did go to the Speedway a couple of times - a few times - in Sydney.  My husband liked the Speedway, so ... and he used to play cricket when we were first married and I used to go and watch him play cricket and then I got roped into ... 10 ",""
"19.50","A","And did you play any sport yourself? ",""
"","B","Tennis.  We used to play tennis - competition tennis - on a Saturday.  My son used to play Rugby League.  My daughter I don't think played very much at all. ",""
"","A","There were no swimming facilities here I suppose? ",""
"","B","No swimming facilities here at all.   ",""
"","A","Are there now? ",""
"","B","There isn't now. ",""
"","A","You'd have to go to Blacktown would you? ",""
"","B","Blacktown or Riverstone is the nearest swimming pool. ",""
"20.22","A","What did your two children do for recreation? ",""
"","B","Oh ... ",""
"","A","When they were younger I suppose they just played at home with friends? ",""
"","B","Yes.  Played at home with friends.  And then they'd go to the pictures or they'd go to the club - now - not a great lot. ",""
"20.50","A","And what about the Country Women's Association?  When did you join - straight after you were married? ",""
"","B","Yes.  My mother-in-law was a member and she took me down and I became a member and I was a member until after Margaret was born in l954 and then I dropped out, and ...   ",""
"","A","You went back again when your children grew up a bit? ",""
"","B","Yes.  When they left school. ",""
"","A","And do you still go? ",""
"","B","Yes. ",""
"","A","Do you?  So you've kept friends with them all there? ",""
"","B","Oh, yes.  We've got some good friends and we go on outings. ",""
"","A","Did you belong to the Red Cross or anything like that? ",""
"","B","No. ",""
"21.39","A","But you did work for the school? ",""
"","B","Yes.  The P &amp; C and the Ladies Auxiliary.  And we earned a lot of money at the school. Seeing it was a new school we had to earn some money to get the things. ",""
"21.54","A","So when your children went to school did they walk to school from here? ",""
"","B","Yes.   They walked, and then my brother-in-law had the taxi and he was subsidised - the taxi - to take children to school.  My son went over to the Quakers Hill public school until he came here and then they walked, it was only just up the road. 11 ",""
"22.29","A","And did your children go on after high school to University or Tech? ",""
"","B","No.  My son got his School Certificate and my daughter got her School Certificate.  But my son is an engineer now.  He went on and did tool-making and followed the career through. ",""
"","A","Was he an apprentice? ",""
"","B","An apprentice tool-maker at Malleys at Auburn.  His father worked at Malleys at Auburn for thirty odd years.  And my daughter is a finance clerk and she's working now for Case at St. Marys. ",""
"","A","And when you said your husband worked at Malley's, was this as well as doing the ... oh, that was your father who was the market gardener? ",""
"","B","Yes. ",""
"","A","Right.  So your husband was a tool-maker was he? ",""
"","B","No he worked at Malley.  No he was a fitter and turner at Malleys. ",""
"","A","And he travelled there by train every day? ",""
"","B","Yes.  And then he became Supervisor in the Machine Shop. ",""
"23.27","A","What about the churches in the area?  Did you find the churches played a very big role, say in the '50s, in the community? ",""
"","B","Yes.  There wasn't a great lot of churches around then.  They were mostly closed.  We were married at Quakers Hill in the church on the corner of Eastern Road and the Navy - that little church there.  But they were mostly closed and they've only just re-opened. ",""
"","A","Really! ",""
"","B","Yes.  So we didn't have much. ",""
"","A","And that was just from lack of congregation? ",""
"","B","Yes. ",""
"","A","And so people are starting to go back now, and I suppose there is more population so ... ",""
"","B","That's right. ",""
"24.12","A","And did they have social activities or anything for the children? ",""
"","B","There used to be Sunday School, and they'd have Sunday School picnics and things. ",""
"24.23","A","And after the War, when European migrants started coming out here, did you notice them coming to this area? ",""
"","B","Yes.  There was a lot in the other street - the next street back - it was a new street and they seemed to congregate. ",""
"","A","Did they?  What nationalities? ",""
"","B","Mostly Yugoslav, Polish, German - mostly those sort of people.  There wasn't any Asians. ",""
"","A","How did it effect you when they came to live here?  Did it effect you in any way? ",""
"","B","12 No not really.  There's a lady across the road - I think she's German - and we became quite friends. ",""
"","A","Did you? ",""
"","B","Yes. ",""
"","A","And I suppose they found it difficult, you know, learning the language and so forth? ",""
"","B","Yes. ",""
"25.22","A","And did they get work around here - did they work locally? ",""
"","B","Yes.  She worked at Riverstone - in the wool place at Riverstone. ",""
"25.32","A","And what about industry in this area, around Quaker Hill? ",""
"","B","There's no industry at all. ",""
"","A","So people had to go out? ",""
"","B","Had to go out of here, yes.   ",""
"","A","And most people would have travelled to Parramatta? Parramatta or further afield. ",""
"25.50","A","So did your children have to go to Sydney to work?  Oh your son worked at Auburn? ",""
"","B","Auburn.  And Margaret has worked at North Sydney until two years ago.  She worked at Blacktown before that and then they transferred her North Sydney, and she found the travelling was just too much of a hassle. ",""
"","A","It's a long way! ",""
"","B","Yes.  And you used to have to get the red-rattler home.  The trains weren't very good. ",""
"26.17","A","Do you remember when the steam trains finished here and  the electric line came through?  That was in the '50s wasn't it? ",""
"","B","Yes.  About 1962 I think. ",""
"","A","Was it?  On the Richmond Line? ",""
"","B","Yes. ",""
"","A","So it was a bit later than Penrith? ",""
"","B","Yes. ",""
"","A","And did that make a different in commuting? ",""
"","B","Yes. ",""
"26.36","A","And so when you look back on your life here during the '40s and during the '50s and looking at what it's like now, what are the main things that have changed and how do your feel about them? ",""
"","B","Well, the schools teach the children a lot these days, but I think that children don't have the respect now the same as we used to. 13 ",""
"","A","For their elders you mean? ",""
"","B","Yes.  They don't have the same respect. They are taught at school to debate and they are taught to have their point of view.  In our days we were seen and not heard. ",""
"","A","Right.  And you had to respect what your father said, and your mother, without questioning it? ",""
"","B","Yes.  And I've got a grandson now who will stand up and have quite a debate with you!  It takes it by surprise sometimes. ",""
"","A","Yes.  I suppose that could be good or bad? ",""
"","B","Yes.  It could be good or bad.  I think it's good for the children, to think that they can stand up and have their say. ",""
"","A","As long as they still respect their elders? ",""
"28.09","B","There was no drugs in our days.  I've never, ever seen drugs.  And I've said to my grandchildren 'I've never seen drugs!&apos;.  Well they say &apos;You haven&apos;t been to school have you Nan?' ",""
"","A","Really!  It's a different world isn't it? ",""
"","B","It is a different world.  Our biggest worry was alcohol I think. ",""
"28.37","A","And so you think the education is better in some ways? ",""
"","B","It is better.  Yes in a lot of ways it's better.  But I don't think they get the same education today as we got.  I don't think the education is as good as we got.  Because I know that my grandchildren never knew their twelve times table when they were leaving primary school to go to high school.  So if you didn't know your tables you couldn't do maths! ",""
"","A","That's right.  Something happens there with learning the basics doesn't it?  ",""
"","B","Yes, and reading is the same. ",""
"","A","And spelling! Yes. ",""
"29.23","A","And what about other things that would have changed?  What about the more crowded ... it's not so crowded just here, is it, in Quakers Hill ... but in the surrounds, the bigger shopping centres and the parking stations? ",""
"","B","Yes.  Well Blacktown is very crowded now.  And I can remember when Blacktown only had five or six shops when I was a girl.  And there was a chemist shop and five or six shops in the main street.  And you knew practically everybody, but now you go to Blacktown and you never know anybody! ",""
"","A","What about here in Quakers Hill? ",""
"","B","Oh we did know most of the people.   ",""
"","A","You still would or ...? ",""
"","B","Not a great lot.  It's changed then - it's changing more. ",""
"30.14","A","What about security? ",""
"","B","14 Well we used to leave the back door open and the ice-man used to come and put the ice in.  But we wouldn't go and leave the back door open now.  And we've got two iron bars behind the back door if we've got to go out at night. ",""
"","A","Really, so that's not so good is it?  That's a change that&apos;s not been for the better! ",""
"","B","It's not pleasant to think you've got to live with that.  We haven&apos;t been robbed, thank goodness.  My son has, be we haven’t. ",""
"","A","It's good to take those precautions. ",""
"30.50","A","And what about the friendliness in the area?  Have you noticed it's not so friendly? ",""
"","B","It's not so friendly as it used to be. ",""
"","A","Is that because it's bigger? ",""
"","B","Yes. ",""
"","A","It's not so personal and you don't know everybody? ",""
"","B","No.  It's not as personal.  I have a friend that comes around a couple or three times a week for a cup of tea of an afternoon.  END SIDE A SIDE B ",""
"1.29","A","And what about the general landscape?  You know, changing from a more rural place to a more suburban area - how do you feel about that?  Has that actually happened here very much? ",""
"","B","Yes.  There's been a lot more houses go up.  They're getting closer together.  I feel the Council could do a lot more for the older area where we live.  I think that ... we've lived here for 40-odd years and we haven't got a footpath on our side, but the new areas, when they're developed, they all get footpaths on both sides. ",""
"","A","Straight away? ",""
"","B","Straight away.  And we haven't got one yet!  We've got a garbage service now. ",""
"","A","You didn't have that? ",""
"","B","We didn't have it in the early times.  But the garbage ... we've got now, which is good. ",""
"2.29","A","And what about the sewerage?  Did you have ...? ",""
"","B","We had to put the sewer on and that would be about 15 years ago.  Yes. ",""
"","A","But before that? We had a pan. You had the old out-door toilet down the back? ",""
"","B","Outdoor, yes.  Toilet down the back and the toilet man used to come once a week.  And you were lucky if you didn't get caught!  (Laughs) ",""
"","A","Didn't they come at night? ",""
"","B","15 Or early hours in the morning!  But ... like when you had to travel to Auburn, we were up at five o'clock in the morning, so ... ",""
"","A","That would be a bit nervous-making on that morning? ",""
"","B","Yes. ",""
"3.12","A","And you didn't have a telephone either? ",""
"","B","No we never got the telephone until '74. ",""
"","A","That's very late isn't it? ",""
"","B","Yes. ",""
"","A","And was that the manual exchange? The automatic exchange didn't come through till then? ",""
"","B","Yes.  Didn't come through till about that time. ",""
"","A","And what did you do for telephoning before that? ",""
"","B","Well if ... the neighbour one, or we'd have to go down to the public telephone.  There was a public telephone down near the Post Office. ",""
"","A","And you never felt the need to have one really before that? ",""
"","B","No. ",""
"3.46","B","Oh, well I think we've just about covered everything.  Is there is anything else you can think of that ... ? ",""
"","A","No.  I don't think so. Did you have any animals - any pet animals? ",""
"","B","We used to have chooks, a few chooks.  We've always had a dog and a cat. ",""
"","A","And did you have a cow? ",""
"","B","No not here? ",""
"","A","Did your father have a cow?  ",""
"","B","Yes we used to have cows at home. ",""
"","A","Did you milk them as a child? ",""
"","B","Yes. ",""
"","A","And he had chooks too, so you were fairly self-sufficient? ",""
"","B","Oh, yes. ",""
"4.21","A","Well just one last question.  Looking back on your life - you had a fairly busy life as a child - do you feel that you were hardly done by, that you had a hard life?  How do you feel about it? ",""
"","B","No.  I don't think I do.  I think that I had a life of what I ... like I was expected to do it and I did it!  I wouldn't have changed it!  And I wouldn't have changed any of it! 16 ",""
"","A","Which is a bit different probably - if a young girl today was left in the circumstances you were at the age of eight and having to look after a family ... ",""
"","B","Oh they wouldn't do that now. ",""
"","A","They'd find it very hard to do that now. ",""
"5.12","A","Well I think that's it.  Thank you very much. ",""
"","B","17 ",""
