"time","speaker","text","notes"
"","B","Yes.  Out the back, yes.   Down the corner of the block. ",""
"6.51","A","So when you were a child what did you do for recreation. ",""
"","B","Well I had no-one to play with for a long time.   ",""
"","A","There were no neighbours ...? ",""
"","B","3 No neighbours.  None with children anyway.  I used to paint and read, sew, all those things kids do, you know - by themselves!  But now they sit and they say &quot;I've got nothing to doooo!&quot; (Laughs) ",""
"7.21","A","So you had to entertain yourself? ",""
"","B","Had to entertain yourself.  Later on there were three girls came to live up the top of the hill and we used to play together.  Cubby houses and things like that. ",""
"","A","Did you have any family pets? ",""
"","B","Yes.  I had an old Cattle Dog.  It regularly had puppies, and I used to play with them.  I used to plug them into the teats, and then pull them off and say &quot;You've had enough, you go on there!&quot;.  (Laughs).  We used to have cattlemen.  There were cattle sale yards down near the station and the cattlemen used to  - on this paddock here we had a dam that my father had dug down the bottom - and they used to rest the cattle on there.  And they used to wait for Prinnie to have her pups 'cause she had lovely pups.  They used to buy them for cattle dog - to look after the cattle, you know. ",""
"8.23","A","And so the shopping area was very small when you were a child? ",""
"","B","It was very small.  There were two grocers; there were two butchers; a post office down on the highway, where my mother used to walk every day to collect the mail before we had mail delivery.  What else was there?  There was a newspaper shop, cum milk-bar cum delicatessen, cum anything else you like to think of, down on the highway.  And there's a bank.  The Commonwealth Bank have always been here. ",""
"9.01","A","So what did you do when you left primary school?  Did you go to high school locally? ",""
"","B","Yes.  I went to Penrith High School.  I had to travel there by train.  There was only Penrith High School, Katoomba High School, Richmond High School and Paramatta High School. ",""
"","A","So you went to Penrith by train. ",""
"","B","I went to Penrith. ",""
"","A","And after that did you go on to any tertiary study or to tech or anything like that? ",""
"","B","No.  I wanted to become a French teacher actually.  I was very interested in French.  And my mother - when I finished my Intermediate Certificate - she said to me 'Where do you want to work’ and I thought 'Oh, beauty', you know, &apos;I don&apos;t have to go to school anymore!&apos;.  (Laughs) ",""
"9.57","A","So you worked locally? ",""
"","B","No.  I worked in the city.  During the War you were Manpower and you had to go where they sent you, and you couldn't leave.  I worked there from the time I left school until 1945, and you were released. ",""
"10.13","A","And can you remember what sort of money you earned when you first started work? ",""
"","B","Yes.  I got nineteen and ten pence for the first three months and then IO got a rise to a pound and twopence.  I think the twopence was the tram fare up to the station because you couldn't have got on a tram with a pound note. (Laughs).  I've heard of people recently who've only got - Joan Reece down here only got seventeen and six or something when she first started work. ",""
"","A","You were on a good wage? ",""
"","B","I was on a good wage.   A good thing. 4 ",""
"","A","And you worked - was it factory work you were doing? ",""
"","B","Yes.  War work. ",""
"","A","Making things like nets and ...? ",""
"","B","Making parts for - it was STC - parts for radios and that type of thing - communications. ",""
"","A","So I suppose most of your age-group in this area did that sort of work? ",""
"","B","I don't know what they did.  But there was no work here except the occasional job in a shop.  You had to move out of St. Marys or travel from St. Marys to get work.  There were a few more shops in Penrith. You could go to work up there if you could get it.  But I didn't want to spend the rest of my life here - Sydney was too good! ",""
"11.40","A","And when you were married - when was that? ",""
"","B","1947. ",""
"","A","Right.  And you lived in your parent's home? ",""
"","B","Yes I lived with them until ... while this house was being built, which took about four years - three to four years or so.  And by that time I had my second child. ",""
"12.02","A","So this is a timber house is it, or ...? ",""
"","B","It's a timber house.  But I've had cladding put on it.  I couldn&apos;t afford the upkeep.   ",""
"","A","So you built a timber house and it was hard to get materials after the War? ",""
"","B","Terribly hard.  You couldn't get anything.  You had to order it.  I remember we sent in an order for tiles to Wunderlich, and they sent it back and said we could send it in in another six months and they'd tell us whether they'd accept it then or not.  (Laughs).  That&apos;s how bad it was! ",""
"","A","Did you have any children before you moved into your house? ",""
"","B","Oh, yes.  I had the two of them. ",""
"","A","And you had another one after you moved. ",""
"","B","One after.  Three of them were born up at Penrith Hospital? ",""
"13.01","A","So you planned your children did you? ",""
"","B","Oh.     (Knocked microphone.)  Sorry. ",""
"13.09","A","And what were the medical facilities like in the area? ",""
"","B","Well, after the War we had two more doctors move in, but before that we had one. ",""
"","A","When you were a child? ",""
"","B","When I was a child there was one doctor and - it was old Teddy Day - and his daughter then graduated and she became a doctor too.  So the two of them were in the practice.  Mum had actually booked the doctor for me when she was going to have me.  She had me suddenly at home you see, and the doctor came down afterwards and he said 'Can I see Mrs. Joiner?' and Mum called out from in the bedroom 'Don't let him in!  He&apos;s not going to hold my hand and say &quot;How are you&quot; and charge me a guinea!'  (Laughs).  He said 'Well, can&apos;t I just come in and have a look at the baby?'. 5 ",""
"14.16","A","And so by the time you had your children, you had all three in the hospital? ",""
"","B","Oh, yes.  Facilities were much better then. ",""
"","A","What happened if there was an emergency in the old days - when you were a child? ",""
"","B","I don't know.  Oh, well I suppose they just had to take them up to Penrith Hospital.  There was an ambulance service then.  But I know my sister had a big operation during the War - a lung operation - and she had to have it dressed every second day.  She was evacuated from Prince Henry Hospital because of the War and because they couldn't get petrol, they had to buy a horse and sulky.  And her husband used to take her up to Penrith Hospital by horse and sulky every second day to get the dressing and the tube cleaned out - the drain tube in it. ",""
"15.20","A","Where was that?  Where did they live? ",""
"","B","They lived in St. Marys, yes. ",""
"","A","So they had to go all that way by sulky?   ",""
"","B","Yes.    ",""
"15.30","A","So after you were married and you moved in here, what was it like?  Was it still very sparse as far as neighbours were concerned? ",""
"","B","Oh yes.   I'm trying to think.   Yes, there was no-one.  This was all ... of course my father owned that land.  There was nothing around here.  These were only built - these War Service Homes behind - in ... oh, it must have been the '60s I think. ",""
"","A","So it was still all bush really? ",""
"","B","It was still all bush, yes.  After the War they did build Housing Commission houses up on top of the hill, and that was the beginning of the rot, you know.  That's when the village developed from a village into (laughs) whatever it is now! ",""
"16.23","A","When you were a child, what was it like around here?  What was the landscape like? ",""
"","B","Oh, it was absolutely beautiful.  Over the other side of the railway line was virgin bush. ",""
"","A","Where all the factories are now? ",""
"","B","Where all the factories are now, which are an absolute eyesore - not aesthetic at all.  And I used to have - in the '50s - I used to have as many as 14 Kookaburras come and sit on the clothes line twice a day to be fed.  Now, if you hear a Kookaburra ... 'Listen, listen, that was a Kookaburra!', you know.  You're quite taken aback by it.   ",""
"","A","You'd hear more trains that anything else I suppose? ",""
"","B","More trains ... well, actually being so close to the line, the trains - you don't hear them so much.  If I'm talking to the neighbour up the back up there you hear them further away and the further you get the longer you hear them.  But here they just go 'zshoooop', you know. ",""
"17.31","A","So it's not so bad?  And did you have electrical appliances when you were first married? ",""
"","B","Yes I had a few.  The iron and the jug and the toaster and a fridge by then, an electric stove.  I didn't have to clean the fuel stove that Mum had and used to black every Friday, you know.  And gone were the candles and all that type of thing.  But during ... when I had my eldest child and the second one - we used to meet everyone up at the clinic and you knew everybody in St. Marys.  This was before the population swelled, and you'd go down the street shopping and leave your pram - put the break on and leave the pram outside the shop while you went in 6 and got it - got whatever you wanted - and you'd know all the prams.   You'd say, &apos;Oh, look!  Molly's down here today!  There's Gordon in his pram!&apos;  And you wouldn&apos;t dare leave your child in the pram outside anywhere now. ",""
"","A","That's one way the place has changed. ",""
"","B","Oh yes.  Not for the better. ",""
"18.45","A","You have security here now too? ",""
"","B","Oh, doors, windows - everything!  I've even inquired into a burglar alarm.  The trouble is they can be a little bit troublesome too.  We've got the keys to next door because he's got one and it's gone off twice with nobody in there. ",""
"","A","Oh, that's a worry. ",""
"","B","He left the keys so we could turn it off if it does go off. ",""
"","A","But you do have ... you have had burglaries here?  Quite a few? ",""
"","B","Oh, yes.  Not a few, but I've had two.  We were up in Townsville and the video and some money and some jewellery and what-have-you ... they broke the back window and got in there.  And then a couple of years later I had the lawnmower taken.   ",""
"","A","From the shed? ",""
"","B","From the shed, yes.  But it's chained up and locked now! ",""
"","A","And you've got a dog! ",""
"","B","And the lawnmower's not there.  It's in the garage now.  They&apos;ve got to move the car out to get the lawnmower out now! ",""
"","A","And you've got the dog specially? ",""
"","B","And the dog especially. ",""
"19.59","A","That's a change from the days when you could go out and leave everything open! ",""
"","B","Leave everything - the windows open - if you go down the street if you weren't going to be that long, you know.  I used to lie down and have a sleep in the afternoon when the children were asleep, you know put them down, and the neighbour used to come up and she'd say to me 'One of these days you're going to get raped.  You will leave that front door open won&apos;t you!'  (Laughs).  And now she berates me the other way because she says 'Your doors always locked'.  (Laughs). ",""
"20.37","A","And what did you do for shopping in the '50s?   Did you still have things delivered, or did you have to go to the shops as well? ",""
"","B","No. my husband used to take me.  I'd go to the clinic with the baby in the pram or the stroller, and I'd do my shopping and he'd come and pick me up and bring it all home. ",""
"","A","You had a car then? ",""
"","B","Yes.  Yes, we were one of the 'top-knots'!  (Laughs).  You didn&apos;t have a push-bike anymore! ",""
"21.07","A","So, looking at the ... oh, you went to the local school here, and did your children also go to the local school? ",""
"","B","7 Yes.  They went to the same school that I went to here and by that time we had a high school.  The three of them went to St. Marys High School. ",""
"","A","Did they walk there? ",""
"","B","Yes. ",""
"","A","It was close enough.  And did any of them go on to tertiary education? ",""
"","B","Not university.  But they did other things.  The youngest one went to a business course because she couldn't get a job, and the master of the Tech College said to her 'This is ridiculous with the pass that you've got and you can't get in - come and see me!&apos;   So she was in the next day!  And so she did that, and my son has done business courses, you know ... what do you call them? ",""
"","A","Management courses? ",""
"","B","Management courses, yes.  He's got his own business now. ",""
"","A","And what about the other one? ",""
"","B","Oh, well she's married and she's living in Townsville and she&apos;s got two children.  I don&apos;t see much of her because it's so far away.  It's too hot for me up there.  I&apos;ve got to go mid-winter if I want to go up there! ",""
"22.38","A","What about your daily routine in the '50s?  How would that have differed from you mother's daily routine say in the '30&apos;s, you know? ",""
"","B","Oh, I don't know.  I did the housework and the washing and the ironing, which she used ... but I did it the easy way.  She used to have the fuel copper that she used to have to stoke up and get boiling before she (laughs) put the clothes in.  Of course I had the washing machine and all that type of thing by then. ",""
"","A","So you were basically doing the same sort of thing but with a bit more help? ",""
"","B","Easier.  It was lighter.  And I used to do a lot of sewing. ",""
"","A","Did you?  Did you make your children's clothes? ",""
"","B","All of them - except their socks and singlets! (Laughs). ",""
"","A","And your mother did the same for you did she? ",""
"","B","Yes.  Yes. ",""
"23.50","A","And what about finances.  Did you and your husband pool finances or was he the breadwinner and give you ...? ",""
"","B","Yes.  I didn't work.   I didn't have any income. ",""
"","A","And did he give you a certain amount each week? ",""
"","B","Yes.  For the household and he used to pay all the bills.  I got a rude shock when he died. ",""
"","A","You had to learn how to ...? ",""
"","B","I had to learn.  I'd never written a cheque even!  The bank manager said to me 'Oh you&apos;ll need a cheque book' and I said 'But I don&apos;t know how to write a cheque!&apos; and he said &apos;Well I&apos;ll show you.' 8 ",""
"","A","When did you lose your husband? ",""
"","B","1971.  And he said 'Well I'll show you.&apos;  I pretty soon got on top of it and once the house was paid - we still had a couple of years to pay on the house - and I just felt lovely to be free of debt and no encumbrances or anything. ",""
"","A","So he managed the finances during your marriage? ",""
"","B","Oh yes.  I just managed the food side of it. ",""
"24.55","A","And what about industry in the area?  When you were growing up here I don't suppose there was very much industry at all? ",""
"","B","Oh, there were tanneries and there was a cannery - one or two canneries - a jam factory.  What else ... a lot of the men used to do what they called wood-cutting.  I don't know what it involved but you used to see them with their axes on a bush bike pedalling out that way. ",""
"","A","Oh yes, cutting timber? ",""
"","B","Cutting timber.  Yes.  He was a timber cutter, you know.  We used to buy our fire wood. ",""
"25.34","A","What did your husband do? ",""
"","B","He was an engineer. ",""
"","A","He worked locally did he? ",""
"","B","Yes.  He worked locally. ",""
"25.44","A","So did you have much help with the children? ",""
"","B","No.  None.  He worked - the hours were too long. ",""
"","A","But you had your family nearby so you had some sort of support? ",""
"","B","Oh, well Mum died in 1953, just before my second one was born.  So I really had no help at all.  She did help me with the first one. ",""
"","A","And you didn't have many neighbours either for help? ",""
"","B","No, no.   No neighbours. ",""
"","A","You had to manage as best you could? ",""
"","B","I had to manage.  And you find out you can do it. ",""
"26.22","A","Did you belong to any community organisations? ",""
"","B","No.  Only the school, when the children went to school.  The Mothers' Club and P &amp; C - and highschool P &amp; C.  That was it.  I'm not a club .... my name was Joiner when I was born, but I'm not a joiner, you know!  (Laughs).  I'm not a people person.  I&apos;m quite happy by myself.  I suppose that's encapsulated like as I was when I was a child. ",""
"","A","You had to find your own fun? ",""
"","B","That's right.  And that's why I get so annoyed when these kids with all their video games and TVs and everything else that they've got - and they get bored!  They've got nothing to do!  It&apos;s pathetic I think. 9 ",""
"27.13","A","And when you say you quite like being along, when you were younger and there was no ... the area was fairly open and there weren't many houses, did you ever feel lonely or isolated? ",""
"","B","No, no.  I used to do things ... I'd find things to do.  I used to think that wouldn't it be wonderful if I could juggle, and I'd try!  (Laughs).  I never ever could.  Or if I could whirl a lasso!  And I'd try, but I never could.  And I used to get - you know the little tobacco tins with the hinged lid that men used to have? - I used to get those and I used to put ants in them and dig a hole and bury them (laughs) and leave them to see how long it would be.  (Laughs).  I'd dig them up and see if they were dead.  And they never ever were.  They must be able to live for a long, long time without seeing daylight. ",""
"","A","So you were doing scientific experiments? ",""
"","B","Oh I suppose so.  If that's scientific! ",""
"28.25","A","And when the area started to get more built up how did you feel about that? ",""
"","B","Oh I didn't mind in the first place.  But then suddenly when they were right on my doorstep I sort of resented it.  Next door there the block was too small to have a house on it, and their windows - the bathroom, toilet, bedroom window - was right beside mine. ",""
"","A","There was a lack of privacy? ",""
"","B","Yes.  And the kids turn on the radio and they talk to each other in the bathroom and you can hear them put the soap down in the rack when they have a shower.  (Laughs).  And I always say I'd love one of those domes of silence over my house, you know.  If only I could get that I'd be happy.  I do love peace and quiet. ",""
"29.17","A","And that's one of the things that you've lost really with suburbanisation? ",""
"","B","I have, yes.  That's right. But they used to have - during the War, before I was married I used to go to them - we had dances everywhere and we used to go ... they had one down here every so often, and I used to chase them round, down to Seven Hills and Parramatta and Sydney, Petersham. ",""
"29.45","A","So dancing was the main entertainment? ",""
"","B","Yes.  Oh, yes.  And if you were too tired to dance you went to the movies to see all the shows that were showing round the movies. ",""
"","A","And by comparison, what did your children do for entertainment in their early teens? ",""
"","B","Oh, well they weren't sort of given that much lee-way because by that time things had started to tighten up.  I know the drugs and drink started to get into the high school just as my eldest girl was leaving in 1965.  There was that blow-up down up about the ... purple hearts was it?  And that's when she was just due to leave.  It started that they couldn't have a party unless they had to have drink there.  So she was monitored very carefully and ... a bit strict I suppose I was with them, but I think it's paid off. ",""
"30.49","A","So that was an effect of the population expansion really that in a sense they lost a bit of freedom? ",""
"","B","Yes.  But not only that I think another part of it was all this raunchy racy music with the racy lyrics and all that sort of thing.  Rock music started to come out, and I blame a lot of that on it. ",""
"31.16","B","END OF SIDE A SIDE B 10 ",""
"0.03","B","Then we got the rock music - and it's developed even worse now. ",""
"","A","Yes.  There's a lot of talk of alcohol in schools and that sort of thing now. ",""
"","B","Yes.  Well I was here by myself the other night and I thought oh - they advertised a Max Gillies play - and I thought 'Oh, I don't mind  Max Gillies you know, the ABC ...&apos; I put it on.  Well!  The first sentence he said:   four letter word - 'Oh, my so-and-so leg!'  I just hit the - I've got a remote control - I just hit the button and turned it off.  I think it's unnecessary.  People can't express themselves without using bad language.  I feel sorry for them.  They've got a poor grip of the English language if they've got to resort to that type of thing. ",""
"","A","And so did your children watch a lot of television when it first came in? ",""
"","B","No.  It was controlled.  My son was only saying the other day - we were over there and he said:  'Oh the things that kids watch on TV and the way that kids are now!'  and he said &apos;What caused it?' and I said 'Parental control!&apos;  I said &apos;You just think back&apos;.  I said &apos;You were never allowed to have loud music on’ I said &quot;I used to say &quot;This is my house and I don't want it.  If you want to listen to it you take it to your bedroom and turn it down and put the head phones on.&quot; ‘I said 'You were never allowed...'  I said &apos;Do you remember the things you weren&apos;t allowed to remember on TV?'  He said 'Yeah, I suppose so.&apos;  (Laughs). ",""
"1.41","A","So even then when your children were growing up, there still weren't many neighbours around? ",""
"","B","Oh, no.  No. ",""
"","A","There was still a nice feeling of space around ...? ",""
"","B","Oh well, they started up the back, because I can remember Craig having a dozen boys in the backyard to play with. ",""
"","A","But they still had a fair bit of space around? ",""
"","B","Oh, yes.  Yes, yes.  Both houses were down behind there.  So, there was room. ",""
"2.13","A","And what did your children do for recreation?  Did they go dancing or to the movies? ",""
"","B","Oh, well Craig was in Scouts and Cubs and all that.   That's what I say, if two dogs met on the corner, Craig would have to be there!   (Laughs).  You know, St. John's Ambulance classes, drumming lessons, whatever, you know.  It doesn't matter that he's not going to become an expert at them.  But he had to be there.  Couldn't be left out of anything.  He's an organiser and a joiner.   ",""
"2.48","A","And did you have a lot of friends in the area through neighbours or through the school clubs and so forth? ",""
"","B","Myself?  Oh, I had acquaintances but not close, close - not really close friends.   Somebody that I used to ... occasionally I might take one of the children for a walk in the stroller in the afternoon and visit them and come home.  Not like my mother had a close friend that lived - oh at least a mile away - at least!   And they used to visit each other.  Maude her name was!  (Laughs).  Maude!  And Maude would come down here and - I think it was Tuesday or Wednesday afternoon - and have afternoon tea.  Mum would have the embroidered table cloth and the sugar and the cakes and the tarts or whatever she'd made, you know, and then the next week - she'd only be here about an hour - and then the next week Mum would go over to Maude's and Maude would have the afternoon tea table set with the embroidered table cloth!  (Laughs) ",""
"","A","They went to so much trouble just for the hour's visit. ",""
"","B","Yes.  That's right.  Maybe two hours at the most.  And to walk that far too! 11 ",""
"4.08","A","She thought nothing of it I suppose? ",""
"","B","No.  No, no. ",""
"","A","And you had a car when your children were growing up so it was easier for you to get around? ",""
"","B","Yes.  Yes.   We used to take them in summer time a lot to the beach.  We found that was a good recreation. ",""
"","A","Which beach did you go to? ",""
"","B","Collaroy mostly.  Or sometimes we'd go down south or we did take them up to Coolangatta. ",""
"4.37","A","And did you go on family picnics and that sort of thing? ",""
"","B","We had barbecues.  Well we went to the beach for our picnics in the summer and we went out into the bush or somewhere for a barbecue in the winter, with relatives. ",""
"4.53","A","And what about after the War - a lot of European migrants moved in - did you find many of them settling around here? ",""
"","B","Yes.  At one stage I was the only Australian in this block of houses here.  But I found them all pretty good. ",""
"","A","What nationality were they? ",""
"","B","Polish ... she's Scottish married to Maltese next door; then there's an Australian, but they used to be Italians in there; and then there was an Australian married to an Italian; and then there's a Yugoslav married to an Italian; and then there's two Yugoslavs; and then there are Italians further down; we had ... and Germans round the corner; Lithuanian married to a German. ",""
"","A","And when would they have moved in here? ",""
"","B","They came after the War.  In the 50's I guess it would have been.  When they started bringing the refugees out from Europe.  Dutch ... but the Dutch mostly seemed to clan together and go out, you know, where one bought a block of land the other one would buy a block of land next to it and they seemed to stick together like a clan. ",""
"","A","And did you find the European people had any effect on life in the area?  You know, did their life style ... ",""
"","B","No.  Except that some of them had to have everything straight away.  'Oh you must do this' and 'You must tell me this' and &apos;How much can I get this for&apos; and ... that was it.  They weren&apos;t willing to wait and go without.  Like when I moved in here I had nothing.  I had one wicker chair.  I had no lounge.  I had a table that had been loaned to me and chairs from my father that had been loaned to me.  And I was happy - not happy - but content to go without until we could afford it and pay cash. ",""
"","A","Right.  You didn't use credit! ",""
"","B","Oh, no.  No credit.  And I felt that some of them had to have it straight away.  And it's strange because they'd been without - they'd been deprived - in Europe for so long. ",""
"7.42","A","Maybe that was why.  They thought they'd come to a new country.  And the industry here now of course has grown enormously.  What sort of industry is there now? ",""
"","B","I don't know ... oh, Case up there make ... it's heavy industry.  Farm machinery and things like that.  I don't know ... 12 ",""
"","A","The factories across here - what do they make? ",""
"","B","I don't know.  I really don't know.  (Laughs).  It&apos;s noisy, whatever it is that he makes!  You know those British Goldmont Gong, the man with the Gong?  I think that's what he is!  (Laughs). ",""
"8.22","A","Making that noise!   So when you think back on what it was like here when you were growing up as a child and what it developed into after the War with more population moving out to the west, what are your main feelings about it? ",""
"","B","There are some things that have their advantages, like medical facilities, shopping's easy.  I rarely go out of St. Marys to buy anything now.  I think the only thing I'd have to leave here for would be to buy furniture. ",""
"","A","And where would you go for that? ",""
"","B","I don't know.  That'd depend on what I wanted.  Parramatta - furniture shops are everywhere, but not here.  Electrical shop's here.  But all in all it's lost its village atmosphere where you go down the street and you'd meet someone.  You knew you were going to meet someone and have a little chat.  You never see anyone you know now.  Never.  'Cause I think the population's something up close to 100,000 now.  'Cause by the year 2000 I think St. Marys and Penrith their estimating 200,000? ",""
"","A","I think it might be more!  And what other things have changed for the better or for the worse?  How has it affected you? ",""
"","B","The noise of course.  I just don't have to ... rarely do I go away from here to buy anything - even Christmas shopping.  No ... I can't put my finger on what it is but it's just sort of lost its friendly atmosphere ... ",""
"","A","And the sense of security that you were talking about? ",""
"","B","Oh yes, oh yes.  You never know who to trust.  We had a big storm here one night.  Oh, it was dreadful, and the poor old Labrador that I had used to go berserk when she got older.  When she was young she used to ignore it.  She used to go berserk.  And this night we had this dreadful storm and she kept coming into my bedroom beside my bed and going 'mm..mm..mm..mm' and I ... in the end I thought &apos;She&apos;s not going to leave me alone, I&apos;m going to have to get up and go out there with her.  Not that you could do anything for her.  When I got out there Nick was already out of his room, sitting there, and I said 'Oh she got you up too!'   I said 'What did she want me for?&apos;  Anyhow, of course we had the lights on, and I said 'Well she's not going to let us sleep, I may as well go and have a cup of coffee while I&apos;m sitting here.  This is about half past three in the morning.  We had the light on.  The next think there was a knock at the door - and it's still teaming cats and dogs - and I opened the inside door - not the outside one - and there was a young fellow standing there and it was just as though you'd picked him out of the sea like that.  He was plastered with water, just drenched!  He said 'Oh' he said &apos;I&apos;m sorry to trouble you but I saw your light on.  Would you mind ringing for a taxi for me?'  And I said 'No&apos;.  I thought &apos;No, I&apos;m not asking you in!&apos;  I said &apos;I&apos;m sorry I can't ask you in'.  He said &apos;No that&apos;s all right, I couldn&apos;t come in anyway, but I&apos;ll just stand up there'.  He was shivering - it was cold!  Anyhow I said afterwards - he'd wanted this taxi - and I said afterwards 'Now isn't that dreadful to think that a person&apos; ... I said &apos;Years ago you&apos;d have invited that person in, given them a rug to put round them and given them a cup of coffee to warm them up'.  I said &quot;I wouldn't have opened ...&quot;   He asked me for a cigarette.  I wasn&apos;t going to open the door and give him a cigarette.  No way. ",""
"","A","And you've had those three men try to knock the door down recently! ",""
"","B","Yes.  Kick it down!  She said they were kicking and ... they got it open, and they broke the handle off the one round the corner - off the security door. 13 ",""
"13.16","A","The security angle is one that has changed. ",""
"","B","Yes that's a bad one, yes. ",""
"","A","And what about the way children live in the area now?  Do you think that has changed much? ",""
"","B","I don't know.  I don't have much to do with the children now.  I always say &apos;I&apos;ve reared mine - I'm shuck of other people's&apos;. ",""
"13.45","A","Your upbringing and your children's upbringing - was there much difference? ",""
"","B","No.  I don't think so.  I really don't.  Except that I was a loner and they had each other to fight with.  And, boy, do you know how many pairs you make out of three children? ",""
"","A","How many? ",""
"","B","You can make three!  You can make that one and that one; that one and that one; and that one and that one.  (Laughs)  And there's always two against one somewhere. ",""
"14.20","A","And what about the landscape, how that's changed since before the War? ",""
"","B","Well we had beautiful natural flora and fauna.  There were foxes over there.  I know they're - what do they class them as? - a pest or rodent now?  And the rabbit man used to come with his basket and the rabbits in it, you know, with a white cloth over it.  Caught the rabbits over there - one and six a pair!  What are they now?  About four dollars each! ",""
"","A","A luxury! ",""
"","B","I couldn't bring myself to eat them now.  Mum used to do all sorts of things with rabbits - she'd bake them, she'd stew them, she&apos;d curry them, she&apos;d fricassee them! (Laughs). ",""
"","A","They taste good too! ",""
"","B","They used to.  I used to love it.  But I haven't been able to buy rabbit since I was a kid - I had a pet one.  (Laughs).  I mean all flora that was here ... I see them now showing natural Australian things on TV and I often say ‘We used to have that growing round here!'.  We used to have the little fly-catchers, you know like little honey-dews?  With the ... we used to have them here.  We used to have ground berries and five-corners.  We used to go and pick and eat. ",""
"","A","Five-corners? ",""
"","B","Five-corners.  Do you know what five-corners ...? ",""
"","A","No. ",""
"","B","Oh.  Nobody ... I've only ever found one person who knew what a five-corner was.  That was a fellow from Canberra.  I mentioned five-corners one day and he said 'Do you know what they are?' and I said 'Yes&apos;. ",""
"","A","A little fruit is it? ",""
